Turn All Type1 Type2 Type3 Type4 A
0 1 1 0 0 0 0
1 1 1 0 0 0 0
2 1 1 0 0 0 0
3 1 1 0 0 0 0
4 3 3 0 0 0 2
5 3 3 0 0 0 2
6 4 4 0 0 0 3
7 6 6 0 0 0 5
8 6 6 0 0 0 5
9 6 6 0 0 0 5
10 7 7 0 0 0 6
11 10 10 0 0 0 9
12 11 11 0 0 0 10
13 11 11 0 0 0 10
14 11 11 0 0 0 10
15 13 13 0 0 0 12
16 14 14 0 0 0 13
17 14 14 0 0 0 13
18 15 15 0 0 0 14
19 15 15 0 0 0 14
20 16 16 0 0 0 15
21 19 19 0 0 0 18
22 20 20 0 0 0 19
23 20 20 0 0 0 19
24 20 20 0 0 0 19
25 23 23 0 0 0 22
26 25 25 0 0 0 24
27 27 27 0 0 0 26
28 27 27 0 0 0 26
29 29 29 0 0 0 28
30 32 32 0 0 0 31
31 36 36 0 0 0 35
32 37 37 0 0 0 36
33 39 39 0 0 0 38
34 41 41 0 0 0 40
35 43 43 0 0 0 42
36 44 44 0 0 0 43
37 47 47 0 0 0 46
38 49 49 0 0 0 48
39 51 51 0 0 0 50
40 55 55 0 0 0 54
41 57 57 0 0 0 56
42 59 59 0 0 0 58
43 60 60 0 0 0 59
44 62 62 0 0 0 61
45 64 64 0 0 0 63
46 66 66 0 0 0 65
47 67 67 0 0 0 66
48 69 69 0 0 0 68
49 69 69 0 0 0 68
50 71 71 0 0 0 70
51 71 71 0 0 0 70
52 72 72 0 0 0 71
53 74 74 0 0 0 73
54 75 75 0 0 0 74
55 78 78 0 0 0 77
56 81 81 0 0 0 80
57 84 84 0 0 0 83
58 85 85 0 0 0 84
59 85 85 0 0 0 84
60 86 86 0 0 0 85
61 91 91 0 0 0 90
62 91 91 0 0 0 90
63 91 91 0 0 0 90
64 91 91 0 0 0 90
65 92 92 0 0 0 91
66 92 92 0 0 0 91
67 94 94 0 0 0 93
68 98 98 0 0 0 97
69 100 100 0 0 0 99
70 100 100 0 0 0 99
71 100 100 0 0 0 99
72 102 102 0 0 0 101
73 102 102 0 0 0 101
74 103 103 0 0 0 102
75 104 104 0 0 0 103
76 105 105 0 0 0 104
